,location_coordinates,Species,Region,Owner,Company,Country.of.Origin,Farm.Name,Mill,Lot.Number,ICO.Number,Altitude,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
692,"2.5276164,-75.7747895",Arabica,huila,racafe & cia s.c.a,racafe & cia s.c.a,Colombia,,,,3-37-2044,de 1600 a 1950 msnm,,250,70 kg,AlmacafÃ©,2013,"May 31st, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42,0.11,0,0,Green,9,"May 31st, 2014",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
693,"16.5313077,-92.4419099",Arabica,chiapas,nestor mendez gomez,cesmach s.c.,Mexico,cipresal,"angel albino corzo, chiapas",,016-2129,1560,EMPERATRIZ GARCIA MUÃ‘OZ,49,1 kg,AMECAFE,2013,"March 29th, 2013",NESTOR MENDEZ GOMEZ,Typica,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42,0.12,0,0,Green,5,"March 29th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1560,1560,1560
694,"16.9378003,-92.702864",Arabica,san pedro cotzilnam,jesus salazar velasco,carajillo cafÃ© sa de cv,Mexico,pante san pedro,"san pedro cotzilnam, municipio de aldama, chiapas",,0,1400,VICTOR MANUEL LOPEZ VAZQUEZ,20,1 kg,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,0.13,0,0,Green,2,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400,1400,1400
695,"19.4715754,-96.9647614",Arabica,coatepec,"el equimite, cafetal biodinÃ¡mico",,Mexico,"cafetal el equimite, rancho agroecolÃ³gico","cafetal el equimite, rancho agroecolÃ³gico",,0,1300,GIBRAN LEONARDO CERVANTES COVARRUBIAS,35,1 kg,AMECAFE,2012,"September 10th, 2012","El Equimite, Cafetal BiodinÃ¡mico",Typica,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,0.14,0,0,Green,9,"September 10th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
696,NA,Arabica,xalapa,manuel herrera juarez,finca los barreales,Mexico,los barreales 1112lbcat_s110312,"los barreales, teocelo, veracruz",,0,1170,MANUEL HERRERA JUAREZ,10,1 kg,AMECAFE,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Caturra,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,0.13,0,0,Green,1,"August 31st, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170,1170,1170
697,"17.8021181,-101.6221973",Arabica,zihuatanejo de azueta,dario cesar galeana sanchez,,Mexico,corral del diablo lote 1,corral del diablo lote 1,,3252,1300,DARIO FRANCISCO GALEANA SOLIS,74,1 kg,AMECAFE,2012,"July 25th, 2012",DARIO CESAR GALEANA SANCHEZ,Typica,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,0.11,0,0,Green,0,"July 25th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
698,"19.7955274,-98.3884829",Arabica,veracruz,jose daniel cobilt castro,,Mexico,caÃ±ada fria,huatusco,,1104558673,1350,JOSE DANIEL COBILT CASTRO,26,1 kg,AMECAFE,2012,"July 11th, 2012",JOSE DANIEL COBILT CASTRO,Pacamara,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,0.14,0,0,Green,6,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1350,1350,1350
699,"20.2686602,-97.9967294",Arabica,xicotepec de juarez,alvaro quiros perez,,Mexico,finca nextlalpa,xicotepec de juarez,,"120706171, 1207106169",1150,"ALVARO QUIROS PEREZ, MIGUEL QUIROZ PEREZ",10,1 kg,AMECAFE,2012,"July 3rd, 2012",ALVARO QUIROS PEREZ,Caturra,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,0.11,0,0,Green,0,"July 3rd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1150,1150,1150
700,NA,Arabica,progreso santa rosa teocelo,olivia hernandez virves,,Mexico,santa rosa,,,125464,1250,OLIVIA HERNANDEZ VIRVES,1,1 kg,AMECAFE,2012,"June 6th, 2012",OLIVIA HERNANDEZ VIRVES,Bourbon,Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,0.13,0,0,,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1250,1250,1250
701,NA,Arabica,fln mirador,finca las nieves,finca las nieves,Mexico,fln mirador,finca las nieves,,1,1450,ROBIN CLEAVER,10,1 kg,AMECAFE,2012,"April 9th, 2012",FINCA LAS NIEVES,Typica,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,0.12,0,0,Bluish-Green,0,"April 9th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1450,1450,1450
702,NA,Arabica,huila,carcafe ltda ci,carcafe ltda,Colombia,,,,3-59-0782,442 msnm,JAIME PULIDO / ALBINO MAHECHA / FREDDY MENDEZ,250,70 kg,AlmacafÃ©,2012,"January 31st, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,0,0,0,,2,"January 30th, 2013",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
703,NA,Arabica,south of minas,nucoffee,nucoffee,Brazil,santa mariana,,,002/1251/185,,Glycia Maria,51,60 kg,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Arusha,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42,0.11,0,0,Blue-Green,2,"January 22nd, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,NA,NA,NA
704,"4.4805343,-75.7011951",Arabica,huila,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Colombia,,trilladora bonanza - armenia quindioa,,3-68-0066,1750,,250,70 kg,AlmacafÃ©,2011,"December 22nd, 2011",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42,0,0,0,Green,2,"December 21st, 2012",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
705,"4.4805343,-75.7011951",Arabica,huila,exportadora de cafe condor s.a,,Colombia,,trilladora bonanza - armenia quindioa,,3-68-0262,1750 m.s.n.m,,0,70 kg,AlmacafÃ©,3T/2011,"September 22nd, 2011",Exportadora de Cafe Condor S.A,,,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42,0.02,0,0,,1,"September 21st, 2012",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
706,"14.4439859,-87.7340521",Arabica,comayagua,bismarck castro,cigrah s.a de c.v,Honduras,los hicaques,cigrah s.a de c.v.,63,13-111-022,1396,Reinerio Zepeda,275,69 kg,Instituto HondureÃ±o del CafÃ©,2017,"April 6th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,0.1,0,1,Green,8,"April 6th, 2018",Instituto HondureÃ±o del CafÃ©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1396,1396,1396
707,NA,Arabica,cerrado,pedro santos e silva,olam,Brazil,fazenda sÃ£o pedro,alfenas,0063/17,,982,Tulio Taft Bovaretto,320,2 kg,Brazil Specialty Coffee Association,2016,"February 9th, 2017",Pedro Santos e Silva,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,0,3,Green,11,"February 9th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,982,982,982
708,NA,Arabica,cerrado,gabriel barbara,volcafe ltda.,Brazil,,copag,2016/0001,02 / 143-0 / 0044,,,305,59 kg,Brazil Specialty Coffee Association,2016 / 2017,"October 13th, 2016",Gabriel Barbara,,Natural / Dry,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,0.11,0,4,Green,14,"October 13th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
709,NA,Arabica,south of minas,ipanema coffees,ipanema coffees,Brazil,capoeirinha,dry mill,008/16B,002/1660/0106,934,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,0.11,0,2,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934,934,934
710,"9.6105386,-84.1140025",Arabica,tarrazu,"ceca, s.a.","ceca,s.a.",Costa Rica,gamboa,beneficio montaÃ±as del diamante,8270,5-025-0294,1850,Martin Gutierrez,100,69 kg,Specialty Coffee Association of Costa Rica,2015,"July 15th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,0.1,6,1,Bluish-Green,3,"July 15th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850,1850,1850
711,"9.6105386,-84.1140025",Arabica,tarrazu,rodrigo soto,panamerican coffee trading,Costa Rica,rio jorco,rio jorco,Tarrazu,5/423/0127,1550,Johanna,130,69 kg,Specialty Coffee Association of Costa Rica,2015,"May 17th, 2016",Rodrigo Soto,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,0,0,2,Green,0,"May 17th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1550,1550,1550
712,"25.1146645,97.3683238",Arabica,xishuangbanna prefecture,yunnan coffee exchange,yunnan coffee exchange,China,yun lan coffee co. ltd,yun lan coffee co. ltd mill,YNC-16053,,1580,Yun Lan Coffee Co. Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,0.12,0,6,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1580,1580,1580
713,"-21.936672,-45.1774427",Arabica,south of minas,ipanema coffees,ipanema coffees,Brazil,rio verde,ipanema coffees,,002/1660/0107,1268,Ipanema AgrÃ­cola SA,12,2 kg,Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Bourbon,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,0.07,0,0,Green,0,"October 7th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1268,1268,1268
714,"-18.9220073,-46.828082",Arabica,chapadÃ£o de ferro (cerrado mineiro),bourbon specialty coffees,bourbon specialty coffees,Brazil,,,,002/4542/0478,,,300,60 kg,Brazil Specialty Coffee Association,2015,"April 20th, 2015",BOURBON SPECIALTY COFFEES,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33,0.11,0,0,Green,10,"April 19th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,NA,NA,NA
715,"15.3183403,-91.5286819",Arabica,huehuetenango,juan luis alvarado romero,exportcafe,Guatemala,finca loma linda y anexo,beneficio exportacafe agua santa,,11-52-349,5500 metros,AMANCIO DEL VALLE CARRILLO,275,69 kg,Asociacion Nacional Del CafÃ©,2015,"March 10th, 2015",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,0.1,0,0,Green,6,"March 9th, 2016",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1676.4,1676.4,1676.4
716,"-11.4313061,33.9456469",Arabica,mzuzu,afca,mzuzu coffee planters coop union,Malawi,utchisi mountain,mzuzu coffee coop union,,C22,1450 m,Mzuzu Coffee Planters Coop Union,10,60 kg,Africa Fine Coffee Association,2014,"November 4th, 2014",AFCA,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,0.12,0,0,Green,0,"November 4th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1450,1450,1450
717,"-21.936672,-45.1774427",Arabica,south of minas,ipanema coffees,ipanema coffees,Brazil,rio verde,ipanema coffees,,002/1660/0065,1100,Ipanema AgrÃ­cola SA,10,2 kg,Specialty Coffee Association,2014/2015,"October 15th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,0.11,0,0,Blue-Green,0,"October 15th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
718,"14.6360736,-90.0090983",Arabica,jalapa,juan luis alvarado romero,"armajaro guatemala, s. a.",Guatemala,el morito,el morito,,11/972/28,5000 ft.,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del CafÃ©,2014,"June 10th, 2014",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,0.12,0,0,Green,3,"June 10th, 2015",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1524,1524,1524
719,"19.7955274,-98.3884829",Arabica,veracruz,dane loraas,sustainable harvest,Mexico,,,,016-2022-0010,,Huatusco,320,5 lbs,Specialty Coffee Association,2014,"April 2nd, 2014",Dane Loraas,,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,82.33,0.11,0,0,Green,0,"April 2nd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
720,NA,Arabica,antioquia,the coffee source inc.,the coffee source inc.,Colombia,several,antioquia,,3-037-996,1300,SEVERAL,250,3 kg,Specialty Coffee Association of Costa Rica,2013,"January 21st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,0.1,0,0,Green,2,"January 21st, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300,1300,1300
721,"24.0789282,120.5445686",Arabica,changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,blossom valleyå®¸å¶§åœ‹éš›,Taiwan,guo cun nong yuan åœ‹æ‘è¾²åœ’,guo cun nong yuan åœ‹æ‘è¾²åœ’,,,200 m,Zhang shui sheng å¼µæ°´å‹,10,20 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQIå°ç£åˆä½œå¤¥ä¼´,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,200,200,200
722,"24.1778045,120.6921485",Arabica,taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,blossom valleyå®¸å¶§åœ‹éš›,Taiwan,yu jin gui çŽ‰é‡‘æ«ƒå’–å•¡,yu jin gui çŽ‰é‡‘æ«ƒå’–å•¡,,,600 m,Lin yu ding æž—çŽ‰å®š,10,30 kg,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQIå°ç£åˆä½œå¤¥ä¼´,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,600,600,600
723,"14.4944769,-90.2214871",Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,el morito,beneficio ixchel,,11/23/1015,4300,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del CafÃ©,2013,"July 16th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,0.12,2,0,Green,1,"July 16th, 2014",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
724,"4.480529,-75.7011951",Arabica,huila,exportadora de cafe condor s.a,exportadora de cafe condor s.a,Colombia,,trilladora boananza,,68-0220,1750 msnm,,250,70 kg,AlmacafÃ©,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,0,0,0,Green,1,"June 21st, 2014",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1750,1750,1750
725,"16.1044215,-92.0635929",Arabica,"la concordia, chiapas",alfredo bojalil,ecomtrading,Mexico,santa teresa,amsa tuxtla,,2222,1300,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,1 kg,AMECAFE,2013,"March 15th, 2013",ALFREDO BOJALIL,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,0.12,0,0,Green,3,"March 15th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1300,1300,1300
726,NA,Arabica,central valley,michael gavina,"f. gaviÃ±a & sons, inc.",Costa Rica,,,,,,,275,1 kg,Specialty Coffee Association,2012,"October 9th, 2012",Michael Gavina,,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,82.33,0,0,0,Green,14,"October 9th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
727,"14.4924286,-90.1789551",Arabica,jalapa,juan luis alvarado romero,finca el morito,Guatemala,finca el morito,beneficio el morito,,11/9768/02,5500-6000 psnm,"CAFE MOLINO MONTERROSO P,J. ROBERTO",275,69 kg,Asociacion Nacional Del CafÃ©,2012,"October 5th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,0.11,0,0,Green,3,"October 5th, 2013",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1676.4,1828.8,1752.6
728,"21.131446,-98.556304",Arabica,"jaltocan, hidalgo",saul m. hernandez ramirez,,Mexico,tepemalacax,en tlalnepantla,,1702806437,441,"SALAZAR HERNANDEZ, ROBERTO",10,1 kg,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,0.15,1,0,None,8,"September 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,441,441,441
729,"19.7955274,-98.3884829",Arabica,veracruz,manuel herrera juarez,finca los barreales,Mexico,finca los barreales 1112lbga7250412,finca los barreales,,0,1170,MANUEL HERRERA JUAREZ,10,1 kg,AMECAFE,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,0.13,0,0,Green,9,"August 31st, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170,1170,1170
730,NA,Arabica,oriente,juan luis alvarado romero,"unex guatemala, s.a.",Guatemala,agropecuaria quiagral,beneficio ixchel,,11/23/0394,4300,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del CafÃ©,2012,"May 23rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,0.1,2,0,Green,5,"May 23rd, 2013",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1310.64,1310.64,1310.64
731,"-21.766425,-46.7043717",Arabica,grama valley,nucoffee,nucoffee,Brazil,sitÃ­o santa luzia,,,002/1251/0243,1100m,JosÃ© Malagutti,16,60 kg,NUCOFFEE,2012,"April 11th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,0.12,0,0,Green,2,"April 11th, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1100,1100,1100
732,"16.2369022,-97.2986509",Arabica,santa catarina juquila,maria luisa del carmen rojas narvaez,eczcafe fino s.a. de c.v.,Mexico,cafetal santa maria,cafetal santa maria,,1405830166,1200 a 1400,MARIA LUISA DELCARMEN ROJAS NARVAEZ,10,1 kg,AMECAFE,2012,"March 5th, 2012",MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Typica,Washed / Wet,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,0.11,0,0,Green,0,"March 5th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1400,1300
733,NA,Arabica,south of minas,nucoffee,nucoffee,Brazil,cafÃ© citrus,,,002/1251/0247,950m,JosÃ© Alberto dos Santos,44,60 kg,NUCOFFEE,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,0.11,0,0,Green,2,"February 16th, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,950,950,950
734,NA,Arabica,huila,carcafe ltda ci,carcafe ltda,Colombia,,,,3-59-0787,442 msnm,JAIME PULIDO / ERMILSON RAMOS,250,70 kg,AlmacafÃ©,2012,"January 31st, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,0,0,0,Green,0,"January 30th, 2013",AlmacafÃ©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442,442,442
735,NA,Arabica,brazil matas de minas,klem organics,klem organics coffee,Brazil,fazendas klem ltda,dry mill,KLEM-C04,002/1566/0003,1100,NAGIPE VIANA KLEM,1062,5 kg,Specialty Coffee Association,,"November 15th, 2017",KlemOrganics,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,0.09,2,6,Green,10,"November 15th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1100,1100,1100
736,NA,Arabica,,cqi taiwan icp cqiå°ç£åˆä½œå¤¥ä¼´,å®¸å¶§åœ‹éš›,Taiwan,çœ‰æ³‰èŽŠåœ’        ,å°ä¸­å¸‚æ–°ç¤¾å€æ–°ç¤¾é‡Œä¸­å’Œè¡—4æ®µ88è™Ÿ        ,1,,,æž—çŽ²ç¾Ž0918232039        ,1,10 kg,Blossom Valley International,2016/2017,"February 13th, 2017",CQI Taiwan ICP CQIå°ç£åˆä½œå¤¥ä¼´,,,7,7.08,7,7.17,7,7,10,10,10,10,82.25,0.1,0,0,Blue-Green,0,"February 13th, 2018",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,NA,NA,NA
737,"14.6126233,-90.1432585",Arabica,nuevo oriente,juan luis alvarado romero,mercon guatemala s.a.,Guatemala,linda vista,beneficio humedo,11/973/158,11/973/158,1450,PABLO CHUY,275,69 kg,Asociacion Nacional Del CafÃ©,2016,"August 31st, 2016",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,0.11,0,2,Green,2,"August 31st, 2017",Asociacion Nacional Del CafÃ©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1450,1450,1450
